latitud,longitud,radio_error,n_gruas,direccion,num,cp,provincia,comunidad,pais,uso1,uso2,obra_nueva
41.4498786926,2.2119500637,,,Carrer Sant Silvestre,,08921,Santa Coloma de Gramenet,Catalonia,ES,oficina,oficina,1
41.5500411987,2.0159099102,,,Carretera de Rubi,,08224,Terrassa,Catalonia,ES,otros,industrial,1
41.5315284729,2.1154000759,,,Passeig de Rubio i Ors,,08204,Sabadell,Catalonia,ES,otros,industrial,1
41.7039611561,2.433887574,,,Carrer Joan Baixas,,08461,Sant Esteve de Palautordera,Catalonia,ES,residencial,residencial,1
41.5428015879,2.2047820675,,,36 Carrer de Sabadell,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.4958114624,2.1637299061,,,Carrer de Ramon Llull,,08291,Ripollet,Catalonia,ES,residencial,residencial,1
41.5447933121,2.2068477148,,,28-34 Carrer de Sant Andreu,,08100,Mollet del Valles,Catalonia,ES,residencial,residencial,1
41.4983901978,2.1614499092,,,Carrer de Pau Casals,,08291,Ripollet,Catalonia,ES,residencial,residencial,1
0.0,0.0,,,,,,,,XZ,residencial,residencial,1
41.5966784754,2.0237546099,,,Carrer de Sant Ignasi,,08230,Matadepera,Catalonia,ES,residencial,residencial,1
41.6155346,2.0866096,,,Carrer de Torras,,08211,Castellar del Valles,Catalonia,ES,residencial,residencial,1
41.6192823,2.2936642,,,Carrer Via Ferrocarril,,08420,Granollers,Catalonia,ES,residencial,residencial,1
41.6127996,2.2917608,,,Carrer de Girona,,08402,Granollers,Catalonia,ES,residencial,residencial,1
41.4768486023,1.9834599495,,,Carrer de Francesc Macia,,08755,Castellbisbal,Catalonia,ES,residencial,residencial,1
41.6154322,2.2902651,,,Carrer de Corro,,08420,Granollers,Catalonia,ES,residencial,residencial,1
41.6134,2.28782,,,Carrer de Ponent,,08401,Granollers,Catalonia,ES,residencial,residencial,1
41.61147,2.29388,,,Carrer de Costa Rica,,08402,Granollers,Catalonia,ES,residencial,residencial,1
